"year","marital","age","race","rincome","partyid","relig","denom","tvhours"
2002,"Married",32,"White","$15000 - 19999","Independent","None","Not applicable",NA
2002,"Widowed",86,"White","Not applicable","Strong democrat","Protestant","Baptist-dk which",NA
2002,"Married",70,"White","$10000 - 14999","Ind,near rep","Protestant","United methodist",4
2002,"Divorced",33,"White","Not applicable","Strong republican","Protestant","Southern baptist",0
2002,"Widowed",80,"White","Not applicable","Strong republican","Protestant","Southern baptist",NA
2002,"Widowed",85,"White","Not applicable","Strong democrat","Protestant","Baptist-dk which",NA
2002,"Divorced",49,"White","Not applicable","Not str democrat","Protestant","Baptist-dk which",NA
2002,"Widowed",67,"Black","Not applicable","Strong democrat","Protestant","Other",6
2002,"Married",36,"White","Not applicable","Ind,near rep","Protestant","No denomination",NA
2002,"Divorced",24,"White","$5000 to 5999","Ind,near dem","Protestant","No denomination",NA
2002,"Divorced",40,"White","$25000 or more","Strong democrat","None","Not applicable",NA
2002,"Never married",34,"Black","$25000 or more","Not str democrat","Protestant","Baptist-dk which",1
2002,"Married",65,"White","Not applicable","Not str democrat","Protestant","Other baptists",NA
2002,"Married",25,"White","$1000 to 2999","Independent","None","Not applicable",4
2002,"Married",61,"White","$25000 or more","Ind,near dem","Protestant","Episcopal",1
2002,"Married",56,"White","$25000 or more","Not str democrat","Protestant","Other",NA
2002,"Married",69,"White","$10000 - 14999","Not str democrat","Protestant","Other",NA
2002,"Never married",18,"White","Not applicable","Ind,near dem","None","Not applicable",NA
2002,"Never married",51,"White","$25000 or more","Not str republican","Protestant","Methodist-dk which",5
2002,"Married",72,"White","Not applicable","Strong republican","Protestant","Other",NA
2002,"Never married",19,"Black","$8000 to 9999","Strong democrat","Protestant","Am baptist asso",1
2002,"Widowed",53,"White","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2002,"Married",33,"Black","$25000 or more","Independent","Protestant","Other",NA
2002,"Married",46,"White","$25000 or more","Independent","None","Not applicable",NA
2002,"Married",33,"White","$20000 - 24999","Ind,near dem","None","Not applicable",1
2002,"Divorced",49,"White","Refused","No answer","No answer","No answer",1
2002,"Married",39,"White","$4000 to 4999","Strong democrat","Protestant","Am baptist asso",NA
2002,"Widowed",77,"White","Not applicable","Strong republican","Protestant","United methodist",NA
2002,"Separated",53,"Other","Not applicable","Ind,near dem","Protestant","Other",NA
2002,"Never married",25,"White","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2002,"Married",75,"White","Not applicable","Not str democrat","Protestant","Southern baptist",NA
2002,"Divorced",40,"White","No answer","Not str republican","None","Not applicable",NA
2002,"Married",56,"White","$25000 or more","Independent","Protestant","Baptist-dk which",NA
2002,"Never married",47,"Black","Refused","No answer","Protestant","Southern baptist",4
2002,"Never married",40,"White","$10000 - 14999","Strong democrat","Protestant","Baptist-dk which",NA
2002,"Married",61,"White","Refused","Other party","Protestant","Other",1
2002,"Married",35,"Black","$25000 or more","Strong democrat","Protestant","Southern baptist",4
2002,"Married",45,"Black","Refused","Strong democrat","Protestant","Southern baptist",NA
2002,"Married",39,"White","Refused","Not str democrat","Protestant","Baptist-dk which",NA
2002,"Married",57,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2002,"Divorced",73,"White","Don't know","Not str democrat","Protestant","Lutheran-dk which",2
2002,"Married",45,"White","Lt $1000","Not str republican","Protestant","Wi evan luth synod",NA
2002,"Married",45,"White","$25000 or more","Strong democrat","Catholic","Not applicable",NA
2002,"Married",48,"White","$25000 or more","Ind,near rep","Protestant","Lutheran-dk which",NA
2002,"Married",52,"White","Not applicable","Independent","Protestant","Wi evan luth synod",NA
2002,"Married",67,"White","Not applicable","Not str republican","Protestant","Lutheran-mo synod",2
2002,"Never married",37,"White","Don't know","Independent","Protestant","Wi evan luth synod",NA
2002,"Married",40,"White","$15000 - 19999","Strong republican","Protestant","Southern baptist",NA
2002,"Married",34,"White","$20000 - 24999","Independent","Protestant","Wi evan luth synod",NA
2002,"Widowed",71,"White","Not applicable","Strong democrat","Protestant","United pres ch in us",NA
2002,"Widowed",80,"White","$15000 - 19999","Not str democrat","Protestant","Lutheran-mo synod",NA
2002,"Married",39,"White","$15000 - 19999","Independent","Protestant","Lutheran-mo synod",NA
2002,"Widowed",80,"White","Not applicable","Not str republican","Protestant","Episcopal",8
2002,"Married",37,"White","$5000 to 5999","Not str republican","Protestant","United methodist",4
2002,"Never married",18,"White","$3000 to 3999","Not str republican","Catholic","Not applicable",NA
2002,"Widowed",83,"White","Not applicable","Not str republican","Protestant","Lutheran-dk which",NA
2002,"Married",63,"White","$25000 or more","Not str democrat","Protestant","Lutheran-dk which",NA
2002,"Married",39,"White","$25000 or more","Not str democrat","Protestant","Lutheran-dk which",NA
2002,"Divorced",38,"White","$25000 or more","Not str democrat","Catholic","Not applicable",1
2002,"Never married",26,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2002,"Married",75,"White","Not applicable","Not str democrat","Protestant","Southern baptist",NA
2002,"Widowed",66,"Other","$10000 - 14999","Strong democrat","Protestant","Episcopal",2
2002,"Widowed",75,"White","Not applicable","Not str democrat","Protestant","United methodist",3
2002,"Divorced",71,"White","Not applicable","Other party","None","Not applicable",2
2002,"Divorced",66,"Black","Not applicable","Independent","Buddhism","Not applicable",NA
2002,"Never married",23,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2002,"Never married",25,"White","Not applicable","Independent","Inter-nondenominational","Not applicable",3
2002,"Married",47,"Black","$15000 - 19999","Strong democrat","Protestant","Other",NA
2002,"Married",40,"White","Not applicable","Not str democrat","Catholic","Not applicable",2
2002,"Never married",25,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2002,"Married",46,"White","$25000 or more","Independent","None","Not applicable",3
2002,"Married",46,"White","$5000 to 5999","Not str democrat","Catholic","Not applicable",5
2002,"Never married",26,"White","$15000 - 19999","Strong democrat","Jewish","Not applicable",1
2002,"Never married",36,"Black","$3000 to 3999","Ind,near dem","Protestant","Baptist-dk which",2
2002,"Married",50,"White","$25000 or more","Strong democrat","None","Not applicable",NA
2002,"Divorced",NA,"White","Not applicable","Not str republican","Catholic","Not applicable",2
2002,"Divorced",54,"White","$25000 or more","Independent","Protestant","Other",NA
2002,"Married",34,"White","$25000 or more","Ind,near rep","Catholic","Not applicable",NA
2002,"Never married",22,"White","Not applicable","Independent","Jewish","Not applicable",NA
2002,"Married",69,"White","Not applicable","Strong republican","Orthodox-christian","Not applicable",NA
2002,"Never married",21,"Black","$6000 to 6999","Ind,near dem","Protestant","No denomination",NA
2002,"Married",36,"White","$25000 or more","Not str democrat","Christian","Not applicable",2
2002,"Divorced",48,"White","Refused","Strong republican","Protestant","No denomination",NA
2002,"Never married",32,"Black","$25000 or more","Not str republican","Christian","Not applicable",NA
2002,"Never married",40,"Black","$25000 or more","Strong democrat","None","Not applicable",4
2002,"Never married",68,"White","Not applicable","No answer","Catholic","Not applicable",NA
2002,"Married",38,"White","Refused","Ind,near dem","Orthodox-christian","Not applicable",NA
2002,"Divorced",30,"White","Refused","Independent","Catholic","Not applicable",2
2002,"Never married",26,"White","$7000 to 7999","Ind,near dem","None","Not applicable",4
2002,"Never married",26,"Black","$25000 or more","Ind,near rep","Catholic","Not applicable",NA
2002,"Never married",38,"White","$25000 or more","Other party","None","Not applicable",NA
2002,"Never married",22,"Black","$25000 or more","Independent","None","Not applicable",NA
2002,"Separated",44,"White","Not applicable","Ind,near dem","Jewish","Not applicable",1
2002,"Married",47,"White","Not applicable","Independent","Protestant","Other",8
2002,"Never married",31,"White","Refused","Not str republican","Catholic","Not applicable",NA
2002,"Widowed",88,"White","Not applicable","Strong republican","None","Not applicable",NA
2002,"Married",56,"White","$25000 or more","Ind,near rep","Protestant","No denomination",NA
2002,"Married",40,"White","Not applicable","Not str republican","Catholic","Not applicable",NA
2002,"Divorced",64,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
2002,"Married",55,"White","$25000 or more","Independent","Orthodox-christian","Not applicable",0
2002,"Married",49,"White","$25000 or more","Not str republican","Protestant","United methodist",NA
2002,"Married",60,"White","$25000 or more","Not str republican","Protestant","Other",NA
2002,"Married",52,"White","$25000 or more","Not str republican","Protestant","Baptist-dk which",NA
2002,"Married",42,"White","Refused","Not str republican","Protestant","Am lutheran",NA
2002,"Never married",65,"White","Not applicable","Not str democrat","Catholic","Not applicable",3
2002,"Married",76,"White","Not applicable","Ind,near dem","Protestant","Other",4
2002,"Married",53,"White","Not applicable","Independent","Protestant","Other",NA
2002,"Separated",69,"White","Not applicable","Strong democrat","Catholic","Not applicable",1
2002,"Married",70,"White","Not applicable","Strong republican","Protestant","United methodist",6
2002,"Married",44,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
2002,"Widowed",61,"White","Not applicable","Other party","Protestant","Other",NA
2002,"Married",47,"White","$25000 or more","Ind,near dem","Christian","Not applicable",NA
2002,"Married",34,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2002,"Divorced",58,"White","$25000 or more","Not str republican","Protestant","Nat bapt conv of am",NA
2002,"Never married",23,"White","Not applicable","Not str republican","Protestant","Other",NA
2002,"Divorced",23,"White","Not applicable","Independent","Protestant","Other",2
2002,"Divorced",36,"White","$15000 - 19999","Ind,near rep","Inter-nondenominational","Not applicable",NA
2002,"Divorced",86,"White","Not applicable","Strong republican","Protestant","Lutheran-mo synod",NA
2002,"Widowed",85,"White","Not applicable","Independent","Catholic","Not applicable",NA
2002,"Never married",89,"White","Not applicable","Not str democrat","Jewish","Not applicable",NA
2002,"Never married",25,"White","$10000 - 14999","Not str democrat","Protestant","No denomination",3
2002,"Never married",32,"Black","$15000 - 19999","Independent","Protestant","Other",NA
2002,"Never married",21,"White","$4000 to 4999","Not str republican","Protestant","United methodist",4
2002,"Married",72,"White","$10000 - 14999","Independent","Protestant","No denomination",NA
2002,"Married",48,"White","$15000 - 19999","Not str democrat","Protestant","Am bapt ch in usa",NA
2002,"Never married",38,"White","$25000 or more","Independent","Protestant","Southern baptist",NA
2002,"Divorced",37,"White","$25000 or more","Ind,near dem","None","Not applicable",NA
2002,"Never married",53,"White","$25000 or more","Independent","None","Not applicable",NA
2002,"Divorced",63,"White","Don't know","Strong democrat","None","Not applicable",NA
2002,"Married",51,"Other","Refused","Ind,near dem","Buddhism","Not applicable",2
2002,"Divorced",56,"White","$25000 or more","Ind,near dem","Protestant","Other",NA
2002,"Divorced",32,"White","$1000 to 2999","Not str republican","Christian","Not applicable",NA
2002,"Married",47,"White","$25000 or more","Strong democrat","None","Not applicable",2
2002,"Married",45,"White","$25000 or more","Not str republican","Protestant","Other",NA
2002,"Divorced",45,"White","$1000 to 2999","Other party","None","Not applicable",NA
2002,"Never married",46,"White","$15000 - 19999","Not str democrat","Catholic","Not applicable",NA
2002,"Married",62,"White","$25000 or more","Not str republican","None","Not applicable",NA
2002,"Married",46,"White","$1000 to 2999","Strong republican","Protestant","Other",1
2002,"Married",57,"White","Not applicable","Not str republican","Protestant","United methodist",NA
2002,"Widowed",77,"White","Not applicable","Not str republican","Protestant","Other",10
2002,"Married",46,"White","$25000 or more","Strong republican","Protestant","Presbyterian-dk wh",NA
2002,"Divorced",52,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
2002,"Married",31,"White","$25000 or more","Strong republican","Catholic","Not applicable",2
2002,"Married",41,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2002,"Divorced",46,"White","$25000 or more","Ind,near rep","Protestant","Lutheran-dk which",2
2002,"Widowed",73,"White","Not applicable","Strong democrat","Catholic","Not applicable",NA
2002,"Married",76,"White","Not applicable","Not str democrat","Protestant","No denomination",NA
2002,"Never married",36,"White","$25000 or more","Independent","Protestant","United methodist",NA
2002,"Never married",23,"White","Not applicable","Independent","None","Not applicable",NA
2002,"Widowed",67,"White","Not applicable","Not str republican","Protestant","Lutheran-mo synod",NA
2002,"Married",56,"White","$25000 or more","Strong democrat","Protestant","United methodist",NA
2002,"Married",29,"White","Lt $1000","Not str democrat","Catholic","Not applicable",NA
2002,"Never married",51,"White","$20000 - 24999","Not str democrat","Catholic","Not applicable",5
2002,"Married",30,"White","$25000 or more","Not str republican","Protestant","Episcopal",NA
2002,"Married",40,"White","$25000 or more","Not str republican","Protestant","No denomination",NA
2002,"Never married",23,"White","$25000 or more","Ind,near dem","Protestant","United methodist",NA
2002,"Divorced",73,"White","Not applicable","Ind,near dem","Protestant","No denomination",3
2002,"Married",43,"White","$25000 or more","Strong republican","None","Not applicable",1
2002,"Married",30,"White","$20000 - 24999","Not str republican","Catholic","Not applicable",NA
2002,"Never married",20,"White","$7000 to 7999","Ind,near rep","None","Not applicable",NA
2002,"Married",44,"White","$25000 or more","Not str democrat","Protestant","Other",1
2002,"Married",49,"White","Refused","Strong republican","Protestant","No denomination",NA
2002,"Married",67,"White","Not applicable","Strong democrat","Protestant","Lutheran-dk which",NA
2002,"Married",82,"White","Not applicable","Not str democrat","Protestant","Other",NA
2002,"Divorced",25,"White","Not applicable","Ind,near rep","Protestant","Southern baptist",NA
2002,"Married",55,"White","Not applicable","Ind,near dem","Protestant","Am lutheran",3
2002,"Widowed",80,"White","Not applicable","Ind,near rep","Protestant","Other",NA
2002,"Married",68,"White","$10000 - 14999","Ind,near dem","Protestant","United methodist",NA
2002,"Married",30,"White","Not applicable","Independent","Protestant","Southern baptist",4
2002,"Widowed",89,"White","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2002,"Widowed",74,"White","Not applicable","Ind,near dem","Catholic","Not applicable",2
2002,"Widowed",73,"White","Not applicable","Ind,near rep","Protestant","Baptist-dk which",NA
2002,"Married",26,"White","Refused","Independent","Catholic","Not applicable",NA
2002,"Married",68,"White","Not applicable","Strong republican","Orthodox-christian","Not applicable",NA
2002,"Married",47,"White","Refused","Independent","None","Not applicable",NA
2002,"Married",36,"White","$25000 or more","Not str republican","Catholic","Not applicable",1
2002,"Never married",69,"White","Not applicable","Strong republican","Catholic","Not applicable",NA
2002,"Never married",19,"White","$1000 to 2999","Not str republican","None","Not applicable",NA
2002,"Married",42,"White","$25000 or more","Ind,near rep","Orthodox-christian","Not applicable",NA
2002,"Never married",37,"White","$10000 - 14999","Not str democrat","Catholic","Not applicable",10
2002,"Divorced",35,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
2002,"Married",50,"Other","Not applicable","Not str democrat","Protestant","Other",NA
2002,"Married",38,"Black","Refused","Not str democrat","Protestant","Southern baptist",2
2002,"Married",51,"White","Refused","No answer","No answer","No answer",0
2002,"Married",43,"White","$25000 or more","Independent","Protestant","Southern baptist",NA
2002,"Divorced",47,"White","$25000 or more","Not str republican","None","Not applicable",NA
2002,"Separated",43,"Black","$15000 - 19999","Ind,near dem","Protestant","Baptist-dk which",NA
2002,"Never married",43,"White","$25000 or more","Ind,near dem","None","Not applicable",2
2002,"Separated",46,"Other","Lt $1000","Strong democrat","Protestant","Baptist-dk which",NA
2002,"Never married",28,"White","Not applicable","Independent","Protestant","Other",NA
2002,"Never married",49,"White","Not applicable","Strong republican","Catholic","Not applicable",NA
2002,"Widowed",58,"White","$25000 or more","Strong democrat","Protestant","Other",1
2002,"Married",33,"White","$25000 or more","Strong republican","Protestant","Am baptist asso",NA
2002,"Never married",40,"White","$25000 or more","Ind,near rep","None","Not applicable",3
2002,"Married",56,"White","$25000 or more","Strong republican","Protestant","Southern baptist",NA
2002,"Divorced",30,"White","$15000 - 19999","Ind,near rep","Inter-nondenominational","Not applicable",1
2002,"Never married",21,"Black","$20000 - 24999","Independent","Protestant","No denomination",NA
2002,"Never married",26,"White","$20000 - 24999","Not str democrat","Protestant","Other",NA
2002,"Married",28,"White","Refused","Independent","None","Not applicable",2
2002,"Never married",46,"White","Lt $1000","Not str republican","Protestant","Am bapt ch in usa",NA
2002,"Widowed",43,"White","Not applicable","Not str democrat","Protestant","Southern baptist",NA
2002,"Never married",20,"Black","$5000 to 5999","Independent","Protestant","Other",2
2002,"Divorced",58,"White","$25000 or more","Ind,near dem","Jewish","Not applicable",NA
2002,"Married",42,"White","$25000 or more","Not str republican","Protestant","Southern baptist",2
2002,"Divorced",73,"White","Not applicable","Not str democrat","Catholic","Not applicable",2
2002,"Divorced",27,"White","$15000 - 19999","No answer","Protestant","Other",NA
2002,"Divorced",28,"White","Not applicable","Independent","Protestant","No denomination",2
2002,"Married",33,"Other","$25000 or more","Strong republican","Catholic","Not applicable",NA
2002,"Married",43,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",NA
2002,"Never married",26,"White","$1000 to 2999","Strong democrat","None","Not applicable",1
2002,"Married",42,"White","$15000 - 19999","Ind,near dem","Catholic","Not applicable",4
2002,"Married",29,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2002,"Married",34,"White","$25000 or more","Other party","Protestant","Baptist-dk which",NA
2002,"Divorced",70,"White","$3000 to 3999","Strong republican","Protestant","Presbyterian c in us",NA
2002,"Never married",72,"White","Not applicable","Not str democrat","Protestant","Baptist-dk which",4
2002,"Married",54,"White","$7000 to 7999","Not str republican","Orthodox-christian","Not applicable",NA
2002,"Married",43,"White","Lt $1000","Strong republican","Protestant","Other",NA
2002,"Married",51,"Other","Not applicable","Independent","Catholic","Not applicable",NA
2002,"Married",77,"White","Not applicable","Not str republican","Protestant","United methodist",NA
2002,"Married",52,"White","$25000 or more","Strong democrat","Protestant","Other",NA
2002,"Never married",21,"Black","$1000 to 2999","Not str democrat","Protestant","Southern baptist",NA
2002,"Never married",23,"White","$3000 to 3999","Not str democrat","Catholic","Not applicable",3
2002,"Never married",28,"White","$20000 - 24999","Strong republican","Buddhism","Not applicable",NA
2002,"Divorced",26,"Black","$20000 - 24999","Ind,near dem","Protestant","Other",NA
2002,"Never married",22,"White","$8000 to 9999","Ind,near dem","Other","Not applicable",2
2002,"Never married",20,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
2002,"Never married",22,"White","Lt $1000","Ind,near rep","None","Not applicable",NA
2002,"Married",71,"White","Not applicable","Ind,near dem","Protestant","Lutheran-mo synod",5
2002,"Married",41,"White","$3000 to 3999","Not str republican","Protestant","No denomination",1
2002,"Divorced",38,"White","$25000 or more","Independent","Protestant","Baptist-dk which",3
2002,"Married",24,"Black","$25000 or more","Independent","Protestant","Baptist-dk which",NA
2002,"Married",42,"Black","$25000 or more","Ind,near dem","Protestant","No denomination",2
2002,"Married",65,"White","Not applicable","Not str republican","Protestant","United methodist",NA
2002,"Married",57,"White","Not applicable","Strong republican","Protestant","Southern baptist",NA
2002,"Separated",45,"Black","$8000 to 9999","Ind,near dem","Protestant","Southern baptist",NA
2002,"Married",34,"White","Not applicable","Not str democrat","Protestant","Southern baptist",NA
2002,"Divorced",37,"White","Not applicable","Not str democrat","Protestant","United methodist",6
2002,"Widowed",88,"White","Not applicable","Independent","Protestant","Other",NA
2002,"Divorced",40,"Other","$10000 - 14999","Independent","Christian","Not applicable",3
2002,"Widowed",87,"White","Not applicable","Strong democrat","Protestant","Southern baptist",2
2002,"Married",36,"White","$25000 or more","Strong republican","Catholic","Not applicable",NA
2002,"Married",34,"White","$10000 - 14999","Ind,near dem","Protestant","Am baptist asso",NA
2002,"Married",25,"Other","$15000 - 19999","Ind,near dem","Catholic","Not applicable",NA
2002,"Never married",20,"White","Not applicable","Not str republican","Catholic","Not applicable",NA
2002,"Never married",24,"White","$8000 to 9999","Not str republican","Catholic","Not applicable",NA
2002,"Married",23,"White","$4000 to 4999","Not str republican","Catholic","Not applicable",NA
2002,"Never married",24,"White","$10000 - 14999","Ind,near dem","No answer","No answer",2
2002,"Married",52,"White","$25000 or more","Not str republican","Protestant","United methodist",NA
2002,"Married",52,"White","Refused","Not str republican","Protestant","Other",1
2002,"Divorced",41,"White","$3000 to 3999","Not str republican","Protestant","United methodist",NA
2002,"Never married",19,"Black","Not applicable","Independent","Protestant","Am baptist asso",NA
2002,"Never married",51,"Black","Not applicable","Not str democrat","Protestant","Baptist-dk which",NA
2002,"Divorced",32,"White","Not applicable","Ind,near dem","Protestant","Southern baptist",NA
2002,"Never married",26,"Black","Not applicable","Strong democrat","Protestant","Other",3
2002,"Never married",24,"Black","$8000 to 9999","Independent","Protestant","Southern baptist",NA
2002,"Never married",30,"Black","$20000 - 24999","Strong democrat","Protestant","Am baptist asso",2
2002,"Married",35,"White","$25000 or more","Ind,near rep","Protestant","Southern baptist",NA
2002,"Married",32,"White","$25000 or more","Not str democrat","Protestant","Southern baptist",2
2002,"Divorced",28,"White","$15000 - 19999","Ind,near rep","Protestant","Other",0
2002,"Divorced",52,"White","$10000 - 14999","Ind,near dem","Protestant","United methodist",NA
2002,"Widowed",58,"White","$25000 or more","Strong republican","Protestant","United pres ch in us",NA
2002,"Never married",24,"Other","Lt $1000","Independent","Protestant","Other",4
2002,"Divorced",75,"White","Not applicable","Ind,near dem","Protestant","Other",1
2002,"Never married",28,"White","Not applicable","Independent","Catholic","Not applicable",2
2002,"Never married",41,"White","$4000 to 4999","Independent","Catholic","Not applicable",NA
2002,"Separated",55,"White","Not applicable","Strong democrat","Catholic","Not applicable",3
2002,"Married",69,"White","Not applicable","Strong democrat","Protestant","United methodist",NA
2002,"Married",68,"White","Not applicable","Strong republican","Protestant","Presbyterian c in us",NA
2002,"Married",51,"White","$25000 or more","Strong republican","Protestant","No denomination",NA
2002,"Married",48,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",2
2002,"Widowed",61,"White","$25000 or more","Strong democrat","Protestant","Southern baptist",NA
2002,"Separated",64,"White","Not applicable","Strong republican","Protestant","Other",NA
2002,"Separated",38,"White","Don't know","Ind,near rep","Protestant","Southern baptist",NA
2002,"Married",66,"White","$15000 - 19999","Not str republican","Protestant","Methodist-dk which",6
2002,"Never married",25,"White","$25000 or more","Ind,near rep","Protestant","Other",1
2002,"Married",46,"Black","$20000 - 24999","Strong democrat","Protestant","Afr meth ep zion",NA
2002,"Never married",27,"White","Not applicable","Ind,near rep","Protestant","Presbyterian-dk wh",NA
2002,"Married",85,"White","Not applicable","Not str republican","Protestant","Other",2
2002,"Widowed",67,"White","Not applicable","Strong republican","Catholic","Not applicable",3
2002,"Never married",20,"White","$8000 to 9999","Not str republican","Protestant","No denomination",1
2002,"Widowed",68,"White","Not applicable","Not str democrat","Protestant","Other",NA
2002,"Married",26,"White","$20000 - 24999","Not str republican","Protestant","Other",NA
2002,"Married",30,"White","$6000 to 6999","Independent","Protestant","Other",5
2002,"Married",57,"White","$20000 - 24999","Strong republican","Protestant","Other",NA
2002,"Married",64,"White","Not applicable","Other party","Protestant","Other",NA
2002,"Never married",31,"Black","$25000 or more","Not str democrat","Catholic","Not applicable",2
2002,"Divorced",44,"White","Not applicable","Strong republican","Protestant","United methodist",NA
2002,"Married",33,"White","$25000 or more","Not str democrat","Protestant","Southern baptist",NA
2002,"Married",36,"Black","$25000 or more","Strong democrat","Protestant","No denomination",NA
2002,"Divorced",45,"White","$6000 to 6999","Not str republican","Protestant","Lutheran-mo synod",NA
2002,"Never married",22,"White","$10000 - 14999","Ind,near dem","None","Not applicable",NA
2002,"Divorced",43,"White","$20000 - 24999","Not str republican","None","Not applicable",NA
2002,"Never married",22,"White","$20000 - 24999","Ind,near dem","None","Not applicable",2
2002,"Married",46,"White","Not applicable","Ind,near dem","None","Not applicable",NA
2002,"Married",85,"White","Not applicable","Not str republican","Catholic","Not applicable",NA
2002,"Never married",75,"Black","Not applicable","Independent","Protestant","Baptist-dk which",NA
2002,"Married",46,"White","$25000 or more","Not str republican","Protestant","Baptist-dk which",NA
2004,"Married",52,"Other","Not applicable","Independent","Catholic","Not applicable",NA
2004,"Married",43,"Other","Not applicable","Not str republican","Catholic","Not applicable",NA
2004,"Never married",52,"Black","No answer","Strong democrat","Protestant","Methodist-dk which",NA
2004,"Divorced",53,"White","$25000 or more","Strong democrat","None","Not applicable",0
2004,"Never married",34,"Other","$25000 or more","Ind,near dem","Catholic","Not applicable",NA
2004,"Never married",33,"Black","$15000 - 19999","Ind,near dem","Protestant","Afr meth ep zion",4
2004,"Never married",24,"Other","$25000 or more","Strong democrat","Catholic","Not applicable",NA
2004,"Never married",22,"Other","Not applicable","Ind,near dem","Moslem/islam","Not applicable",NA
2004,"Never married",19,"Black","Not applicable","Not str democrat","Protestant","Other",NA
2004,"Never married",26,"Black","$25000 or more","Not str democrat","Protestant","Southern baptist",NA
2004,"Divorced",74,"Black","Not applicable","Independent","Protestant","Methodist-dk which",NA
2004,"Widowed",58,"Black","$25000 or more","Not str democrat","None","Not applicable",NA
2004,"Married",32,"Black","$10000 - 14999","Strong democrat","Catholic","Not applicable",NA
2004,"Married",40,"Black","$25000 or more","Not str democrat","None","Not applicable",NA
2004,"Never married",42,"Black","$20000 - 24999","Independent","None","Not applicable",3
2004,"Separated",48,"Black","$3000 to 3999","Strong republican","Protestant","Baptist-dk which",NA
2004,"Never married",39,"Black","$3000 to 3999","Strong democrat","None","Not applicable",NA
2004,"Never married",27,"White","$15000 - 19999","Independent","Catholic","Not applicable",4
2004,"Married",38,"Black","Not applicable","Strong democrat","Protestant","Other",NA
2004,"Never married",29,"Other","$25000 or more","Strong democrat","None","Not applicable",NA
2004,"Never married",29,"Black","Not applicable","Strong democrat","Protestant","No denomination",NA
2004,"Married",67,"White","Not applicable","Independent","Catholic","Not applicable",NA
2004,"Married",57,"White","$10000 - 14999","Strong democrat","Moslem/islam","Not applicable",NA
2004,"Never married",20,"Other","Not applicable","Not str democrat","None","Not applicable",4
2004,"Never married",19,"White","Not applicable","Not str democrat","Orthodox-christian","Not applicable",NA
2004,"Married",55,"Other","$1000 to 2999","Not str democrat","Protestant","Other baptists",NA
2004,"Married",35,"White","$15000 - 19999","Strong republican","Jewish","Not applicable",NA
2004,"Never married",26,"White","Not applicable","Ind,near dem","Jewish","Not applicable",NA
2004,"Widowed",81,"White","Not applicable","Strong democrat","Jewish","Not applicable",NA
2004,"Never married",73,"White","Not applicable","Not str republican","Jewish","Not applicable",NA
2004,"Divorced",65,"White","Not applicable","Strong democrat","Jewish","Not applicable",4
2004,"Never married",68,"Black","Not applicable","Ind,near dem","Catholic","Not applicable",NA
2004,"Married",35,"Black","$25000 or more","Independent","Moslem/islam","Not applicable",2
2004,"Never married",30,"White","$25000 or more","Not str democrat","Jewish","Not applicable",1
2004,"Married",47,"White","Refused","Not str democrat","No answer","No answer",NA
2004,"Married",58,"White","$25000 or more","Strong democrat","Jewish","Not applicable",NA
2004,"Never married",57,"White","$25000 or more","Not str democrat","None","Not applicable",NA
2004,"Married",29,"White","$25000 or more","Not str democrat","Jewish","Not applicable",NA
2004,"Never married",53,"White","$25000 or more","Strong democrat","Jewish","Not applicable",1
2004,"Never married",48,"White","Not applicable","Ind,near dem","Catholic","Not applicable",1
2004,"Married",23,"Black","$8000 to 9999","Not str democrat","Protestant","Other",5
2004,"Married",36,"Other","Don't know","Strong democrat","Catholic","Not applicable",NA
2004,"Married",24,"Black","No answer","Not str democrat","Christian","No denomination",12
2004,"Married",61,"White","$25000 or more","Not str democrat","Catholic","Not applicable",2
2004,"Never married",49,"White","No answer","Ind,near rep","Catholic","Not applicable",2
2004,"Divorced",55,"Other","$25000 or more","Not str democrat","Other","Not applicable",NA
2004,"Never married",53,"White","$10000 - 14999","Strong democrat","Jewish","Not applicable",2
2004,"Never married",33,"White","$25000 or more","Independent","None","Not applicable",NA
2004,"Never married",26,"White","No answer","Ind,near dem","None","Not applicable",NA
2004,"Married",63,"White","Not applicable","Strong democrat","None","Not applicable",7
2004,"Divorced",38,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",2
2004,"Married",30,"Other","$20000 - 24999","Not str democrat","None","Not applicable",NA
2004,"Separated",37,"Black","$25000 or more","Strong democrat","Catholic","Not applicable",NA
