tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N329AA,1987,Fixed wing multi engine,BOEING,767-223,2,255,NA,Turbo-fan
N329JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N329NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N329NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N330AT,2007,Fixed wing multi engine,BOEING,737-7BD,2,149,NA,Turbo-fan
N330NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N330NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N33103,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N33132,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N33182,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N331NB,NA,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N331NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N33203,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33209,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33262,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33264,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33266,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33284,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33286,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33289,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33292,NA,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33294,2005,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N332AA,1987,Fixed wing multi engine,BOEING,767-223,2,255,NA,Turbo-fan
N332NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N332NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N333NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N333NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N334JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N334NB,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N334NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N335AA,1987,Fixed wing multi engine,BOEING,767-223,2,255,NA,Turbo-fan
N335NB,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N335NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N336AA,1987,Fixed wing multi engine,BOEING,767-223,2,255,NA,Turbo-fan
N336AT,2008,Fixed wing multi engine,BOEING,737-7BD,2,149,NA,Turbo-fan
N336NB,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N336NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N33714,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N337JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N337NB,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N337NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N338AA,1987,Fixed wing multi engine,BOEING,767-223,2,255,NA,Turbo-fan
N338AT,2008,Fixed wing multi engine,BOEING,737-7BD,2,149,NA,Turbo-fan
N338NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N338NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N339AA,1988,Fixed wing multi engine,BOEING,767-223,2,255,NA,Turbo-fan
N339JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N339NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N339NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N340LV,1987,Fixed wing multi engine,BOEING,737-3K2,2,149,NA,Turbo-jet
N340NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N340NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34110,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N34111,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N34131,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N34137,1999,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N341NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N341NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34222,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N34282,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N342NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N342NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N343NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N343NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34455,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N34460,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N344AA,1992,Fixed wing multi engine,GULFSTREAM AEROSPACE,G-IV,2,22,NA,Turbo-fan
N344NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N344NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N344SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N345NB,NA,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N345NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N345SA,1987,Fixed wing multi engine,BOEING,737-3K2,2,149,NA,Turbo-jet
N346JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N346NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N346SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N347AA,1985,Rotorcraft,SIKORSKY,S-76A,2,14,NA,Turbo-shaft
N347NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N347NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N347SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N348JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N348NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N348NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N349NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N349NW,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N349SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N350AA,1980,Fixed wing multi engine,PIPER,PA-31-350,2,8,162,Reciprocating
N350NA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N350SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N351AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N351JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N351NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N351NW,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N35204,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N35260,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N35271,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N352AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N352NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N352NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N352SW,1990,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N353AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N353AT,2009,Fixed wing multi engine,BOEING,737-7BD,2,149,NA,Turbo-fan
N353JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N353NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N353NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N353SW,1990,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N35407,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N354AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N354JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N354NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N354NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N354SW,1991,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N355AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N355JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N355NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N355NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N355SW,1991,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N356NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N356SW,1991,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N357AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N357NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N357NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N357SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N358AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N358JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N358NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N358NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N358SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N359AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N359NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N359NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N359SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N360AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N360NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N360NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N360SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N361AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N361NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N361NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N361SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N361VA,2013,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N36207,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N36247,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N36272,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N36280,2003,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N362AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N362NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N362NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N362SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N363AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N363NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N363NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N363SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N36444,2010,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N36447,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N36469,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N36472,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N36476,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N364AA,1973,Fixed wing multi engine,CESSNA,310Q,2,6,167,Reciprocating
N364NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N364NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N364SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N365AA,2001,Rotorcraft,AGUSTA SPA,A109E,2,8,NA,Turbo-shaft
N365NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N365NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N365SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N366AA,1991,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N366NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N366NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N366SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N367NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N367SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N368AA,1991,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N368JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N368NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N368NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N368SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N36915,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N369AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N369NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N369NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N369SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N370AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N370NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N370NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N370SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N371AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N371CA,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N371DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N371NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N371NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N371SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N37252,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37253,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37255,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37263,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37267,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37273,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37274,2002,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37277,2002,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37281,2003,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37287,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37290,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37293,2005,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37298,2005,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N372AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N372DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N372NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N372SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N3730B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3731T,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3732J,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3733Z,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3734B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3735D,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3736C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3737C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3738B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3739P,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N373AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N373DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N373JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N373NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N373SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N37408,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N37409,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N3740C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N37413,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37419,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3741S,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N37420,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37422,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37427,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3742C,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N37434,2009,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37437,2009,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3743H,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3744F,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N37456,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3745B,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N37462,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37464,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37465,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37466,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37468,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3746H,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N37470,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37471,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37474,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3747D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3748Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3749D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N374AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N374DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N374JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N374NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N374SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N3750D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3751B,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3752,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3753,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3754A,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3755D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3756,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3757D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3758Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3759,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N375DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N375JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N375NC,2002,Fixed wing multi engine,AIRBUS,A320-212,2,182,NA,Turbo-fan
N375SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N3760C,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3761R,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3762Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3763D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3764D,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3765,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3766,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3767,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3768,2002,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3769L,2002,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N376AA,1978,Fixed wing single engine,PIPER,PA-32RT-300,1,7,NA,Reciprocating
N376DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N376NW,2002,Fixed wing multi engine,AIRBUS,A320-212,2,182,NA,Turbo-fan
N376SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N37700,2002,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3771K,2002,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N3772H,2010,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3773D,2010,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N377AA,NA,Fixed wing single engine,PAIR MIKE E,FALCON XP,1,2,NA,Reciprocating
N377DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N377NW,2003,Fixed wing multi engine,AIRBUS,A320-211,2,182,NA,Turbo-fan
N378AA,1963,Fixed wing single engine,CESSNA,172E,1,4,105,Reciprocating
N378DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N378NW,2003,Fixed wing multi engine,AIRBUS,A320-211,2,182,NA,Turbo-fan
N378SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N379AA,1993,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N379DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N379SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N380DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-jet
N380HA,2010,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
N380SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
